ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'4605250900052,Nozizwe,Sigagu,Female,1946-05-25,79,Citizen,South Africa,25538339,N/A,N/A,N/A,N/A,N/A,mcebisi36@za.net,001-833-753-8398x5174,"7502 Joseph Isitaladi, Tembisa, 9822",Paarl,North West,3576,Investment analyst,Zulu,N/A
'8305104561041,Nqobizitha,Silangwe,Female,1983-05-10,42,Permanent Resident,South Africa,84620014,N/A,N/A,N/A,N/A,N/A,sibonelomhlungu@co.za,(903)203-7916,"66 Churchill Indlela, Tembisa, 5451",iKapa,Eastern Cape,6901,Publishing rights manager,Zulu,N/A
'9905114381070,Gugulethu,Mathunjwa,Female,1999-05-11,26,Citizen,South Africa,95300646,N/A,N/A,N/A,N/A,N/A,nomasonto02@co.za,788.423.5168x187,"95 Elizabeth Isitaladi, Sasolburg, 4592",Bloemfontein,KwaZulu-Natal,3592,Corporate treasurer,Zulu,N/A
'PR73782718,Langalibalele,Mbuli,Male,1990-09-11,35,Citizen,Malawi,39252479,Critical Skills Visa,2023-05-22,2033-05-19,PER89426,N/A,thabisile73@net,864-306-5048x92910,"441 Cecil Indlela, Witbank, 3882",Tembisa,North West,8071,"Therapist, horticultural",Zulu,3
'4406106492058,S'fiso,Mbhele,Male,1944-06-10,81,Citizen,South Africa,83155184,N/A,N/A,N/A,N/A,N/A,zenzele54@africa.com,591.403.7114,"464 Gandhi Umgwaqo, Kathu, 2114",Tembisa,Eastern Cape,8418,Arboriculturist,Zulu,N/A
'TV22908,彬,王,Male,1977-10-15,47,Citizen,China,50859928,Critical Skills Visa,2024-09-15,2025-09-11,VIS54979,N/A,zjia@com.cn,13181239690,宁夏回族自治区柳州县崇文许路L座 735998,桂芝市,Gauteng,575760,技工普工,Mandarin,8
'TV36997,Franjo,Thanel,Male,1988-06-09,37,Permanent Resident,Germany,588958535,Business Visa,2023-03-22,2026-02-25,VIS60807,N/A,telse31@germany.com,09776 006686,"Seifertstr. 3-1, 40499 Rochlitz",Rathenow,Northern Cape,08361,Pfleger,German,4
'8112157706034,Siyabonga,Mhlambo,Male,1981-12-15,43,Citizen,South Africa,98264005,N/A,N/A,N/A,N/A,N/A,siphesihlesiwele@africa.com,(710)756-5535x1008,"5320 York Indawo, Bethlehem, 5889",Benoni,Northern Cape,5087,Geophysical data processor,Zulu,N/A
'4008016323027,Nhlanhla,Maseko,Male,1940-08-01,85,Citizen,South Africa,86292073,N/A,N/A,N/A,N/A,N/A,bhekokwakhe32@africa.com,640.630.0071x7549,"4831 Napier Indlela, Witbank, 3718",Centurion,Western Cape,9989,Theme park manager,Zulu,N/A
'6511096233078,Thando,Mtuswa,Male,1965-11-09,59,Citizen,South Africa,59011409,N/A,N/A,N/A,N/A,N/A,qdukada@za.net,(407)574-5035,"671 Paul Kruger Indawo, Kathu, 6018",Mahikeng,North West,1110,Financial risk analyst,Zulu,N/A
'6602012729028,Thuthukile,Mthembu,Female,1966-02-01,59,Permanent Resident,South Africa,34712106,N/A,N/A,N/A,N/A,N/A,pncusi@co.za,568.883.1340x35500,"9178 Smith Indawo, iBhayi, 8629",eThekwini,North West,2828,"Therapist, music",Zulu,N/A
'8104139028090,Mcebisi,Maphumulo,Male,1981-04-13,44,Citizen,South Africa,57502179,N/A,N/A,N/A,N/A,N/A,thembile91@za.net,229.419.6829,"57 Frere Ithafa, Klerksdorp, 7028",Welkom,Gauteng,3938,"Conservation officer, historic buildings",Zulu,N/A
'TV92865,Sphiwe,Khwela,Male,1999-01-09,26,Citizen,Tanzania,80933001,Relative's Visa,2024-06-07,2026-02-27,VIS38875,N/A,mzimelasibusiso@org,+1-202-467-1633x845,"439 York Isitaladi, Mbombela, 4360",Soweto,Northern Cape,9371,Tax adviser,Zulu,19
'PR61772549,Musa,Mpanza,Male,1998-07-04,27,Citizen,Somalia,24248781,Business Visa,2024-01-21,2034-01-18,PER97184,N/A,impungose@com,979.478.8335x951,"996 Churchill Indawo, Mahikeng, 6187",Bloemfontein,Eastern Cape,7304,"Designer, textile",Zulu,5
'PR14980258,Édouard,Martineau,Male,1990-08-05,35,Permanent Resident,Democratic Republic of Congo,99380345,Retirement Visa,2023-01-13,2033-01-10,PER41341,N/A,corinne74@net,0218719257,"226, rue de Huet, 64948 Launay",Lemaire,Free State,62235,chef de mission humanitaire,French,20
'5303131559039,Sibusisiwe,Langa,Female,1953-03-13,72,Citizen,South Africa,87328323,N/A,N/A,N/A,N/A,N/A,thalentephungula@co.za,001-743-936-5761,"41 Voortrekker Indawo, Benoni, 6419",Mbombela,Mpumalanga,1751,English as a second language teacher,Zulu,N/A
'5212155907015,S'fiso,Gubhela,Male,1952-12-15,72,Permanent Resident,South Africa,73954547,N/A,N/A,N/A,N/A,N/A,rmthalane@africa.com,613.225.6670x392,"429 Nelson Mandela Indlela, Boksburg, 3931",Musina,Eastern Cape,2418,Clinical embryologist,Zulu,N/A
'0105041389062,Mnqobi,Manzini,Female,2001-05-04,24,Citizen,South Africa,14224692,N/A,N/A,N/A,N/A,N/A,nyawogugulethu@za.net,824-791-7804x597,"50 Churchill Indlela, Mbombela, 8926",eGoli,Limpopo,9746,"Engineer, maintenance (IT)",Zulu,N/A
'4108091847056,Nonhlanhla,Dimbani,Female,1941-08-09,84,Citizen,South Africa,45193990,N/A,N/A,N/A,N/A,N/A,nqobizithangwekazi@africa.com,991-743-0916x4714,"972 Paul Kruger Ithafa, Musina, 7053",Bloemfontein,Free State,9142,Waste management officer,Zulu,N/A
'7910054210087,Mnqobi,Khuluse,Female,1979-10-05,45,Citizen,South Africa,26083970,N/A,N/A,N/A,N/A,N/A,xsibeko@za.net,976.846.7670,"69 Voortrekker Isitaladi, Randfontein, 3200",Middelburg,Free State,4477,Research scientist (life sciences),Zulu,N/A
'AS727084,琴,徐,Female,1997-08-15,28,Temporary Visa,China,74004245,Asylum Seeker Permit,2024-08-29,2026-08-29,ASP74923,Rejected,weilei@com.cn,15773378662,西藏自治区惠州市浔阳马鞍山路O座 148358,成市,North West,505164,电气工程师/技术员,Mandarin,17
'TV63876,Dumisile,Dimbani,Female,2004-02-22,21,Citizen,Eswatini,76364720,Study Visa,2024-01-14,2026-07-05,VIS49362,N/A,vusumuzi05@net,261.240.4390x2375,"8948 James Ithafa, iBhayi, 9162",Musina,Mpumalanga,9601,Community arts worker,Zulu,19
'4702236085081,Mcebisi,Madiba,Male,1947-02-23,78,Permanent Resident,South Africa,17751595,N/A,N/A,N/A,N/A,N/A,lukhelekhanyisile@africa.com,(447)495-9453,"81 Rivonia Ithafa, Newcastle, 2094",Upington,Mpumalanga,1900,Arboriculturist,Zulu,N/A
'4302216899082,SimphiweyiNkosi,Dladla,Male,1943-02-21,82,Citizen,South Africa,95373532,N/A,N/A,N/A,N/A,N/A,gmgabhi@za.net,(583)215-0918x623,"56 Thomas Indawo, Rustenburg, 7334",iBhayi,Northern Cape,2619,Building services engineer,Zulu,N/A
'PR30857490,Françoise,Grégoire,Female,1988-09-10,37,Citizen,United States,629428374,Study Visa,2025-07-22,2035-07-20,PER15848,N/A,nicolas04@com,04 58 47 60 71,"chemin Parent, 27250 Saint Margot",Normandnec,Northern Cape,75624,consultant,French,2
'PR64587125,彬,宁,Male,1986-06-25,39,Temporary Visa,China,16617305,Corporate Visa,2023-12-16,2033-12-13,PER13747,N/A,shou@com.cn,18941503847,江西省岩县大兴柳州街C座 483209,沈阳县,North West,757613,注塑工,Mandarin,1
'PR51860912,Ladislaus,Roskoth,Male,1983-12-03,41,Asylum Seeker,Germany,671660811,Corporate Visa,2024-12-11,2034-12-09,PER25387,N/A,groettnersofia@de,02901 71345,"Hornigweg 5-1, 16966 Rudolstadt",Ilmenau,Eastern Cape,92093,Beamter,German,3
'PR60946189,Vusumuzi,Mbunjwa,Male,2001-02-04,24,Citizen,Botswana,BO864872,Work Visa,2024-09-08,2034-09-06,PER11963,N/A,bandile39@org,+1-742-844-2047x22742,"957 West Indlela, Paarl, 8025",Mbombela,North West,7696,Communications engineer,Zulu,18
'9002124003066,Londiwe,Khathi,Female,1990-02-12,35,Permanent Resident,South Africa,20204352,N/A,N/A,N/A,N/A,N/A,memelanomvula@za.net,(834)945-1849x596,"86 Church Umgwaqo, Welkom, 1205",Musina,Limpopo,4032,Applications developer,Zulu,N/A
'6211290329038,Gugulethu,Nodlomo,Female,1962-11-29,62,Citizen,South Africa,11284616,N/A,N/A,N/A,N/A,N/A,masikaneminenhle@za.net,001-424-756-7434,"163 Edward Indlela, Soweto, 1907",Tembisa,KwaZulu-Natal,2684,Artist,Zulu,N/A
'TV45586,Zibuyile,Gubhela,Female,1987-10-17,37,Citizen,Zimbabwe,ZI484918,Study Visa,2025-06-13,2027-12-24,VIS87454,N/A,nqobizitha77@co.zw,+1-229-496-3316x080,"832 Church Ithafa, Upington, 1159",Centurion,Eastern Cape,6645,Marine scientist,Zulu,18
'AS579886,संजय,बुरुाह,Male,1998-09-25,26,Citizen,India,62576658,Asylum Seeker Permit,2023-09-18,2025-09-17,ASP68766,Application Submitted,shivaaliicturvedii@india.com,06181 621599,"19/7776 मजूमदार, चंडीगढ 678307",भागलपुर,Northern Cape,692037,Scientific laboratory technician,Hindi,20
'6507166105025,Lungile,Dlebenkomo,Male,1965-07-16,60,Citizen,South Africa,77678543,N/A,N/A,N/A,N/A,N/A,sibusisiwe81@za.net,(371)650-9360x937,"160 Queen Umgwaqo, Soweto, 2937",Witbank,KwaZulu-Natal,8023,Industrial buyer,Zulu,N/A
'9804121535033,Nomthandazo,Jamasijadu,Female,1998-04-12,27,Permanent Resident,South Africa,81833190,N/A,N/A,N/A,N/A,N/A,vsithenjwa@africa.com,349-994-9815,"815 Grey Umgwaqo, Potchefstroom, 7962",Stellenbosch,Eastern Cape,3304,Chief Strategy Officer,Zulu,N/A
'8106081586035,Sihawukele,Mngwemkhulu,Female,1981-06-08,44,Citizen,South Africa,32809657,N/A,N/A,N/A,N/A,N/A,vilakazinokulunga@africa.com,730-294-2199x242,"764 Long Umgwaqo, Tembisa, 8524",Mbombela,Western Cape,3818,Insurance claims handler,Zulu,N/A
'5012239477039,Vusumuzi,Nzima,Male,1950-12-23,74,Permanent Resident,South Africa,13548968,N/A,N/A,N/A,N/A,N/A,mehloluhlazandumiso@co.za,982.467.7813,"4957 Napier Indawo, Bethlehem, 4685",Vanderbijlpark,Free State,7944,Retail banker,Zulu,N/A
'5703065003030,Vusumuzi,Manana,Male,1957-03-06,68,Asylum Seeker,South Africa,64621207,N/A,N/A,N/A,N/A,N/A,simphiweyinkosimdlumbi@za.net,334-421-5421x101,"2096 George Isitaladi, Musina, 7571",Newcastle,KwaZulu-Natal,9450,Trade union research officer,Zulu,N/A
'8501281020077,Nomasonto,Ngazitha,Female,1985-01-28,40,Citizen,South Africa,11115022,N/A,N/A,N/A,N/A,N/A,njabulomadlanduna@za.net,(388)754-7527x890,"849 Voortrekker Isitaladi, Newcastle, 9577",Mahikeng,North West,2441,Ergonomist,Zulu,N/A
'5807068608053,Mlungisi,Hlabisa,Male,1958-07-06,67,Asylum Seeker,South Africa,57978538,N/A,N/A,N/A,N/A,N/A,owethugabela@za.net,+1-414-514-5917x3350,"772 Edward Ithafa, Randfontein, 5820",Tembisa,Western Cape,7727,"Scientist, biomedical",Zulu,N/A
'5511083220057,Zinhle,Shangase,Female,1955-11-08,69,Citizen,South Africa,57162622,N/A,N/A,N/A,N/A,N/A,dlodlonomathalente@africa.com,001-303-242-7551x7022,"5842 Somerset Ithafa, Chatsworth, 6537",uMgungundlovu,Western Cape,3124,Mining engineer,Zulu,N/A
'9303061193011,Zenzile,Manzini,Female,1993-03-06,32,Permanent Resident,South Africa,85915797,N/A,N/A,N/A,N/A,N/A,zluvuno@africa.com,001-261-869-0759x987,"8410 Church Indlela, Stellenbosch, 6984",Bloemfontein,Eastern Cape,6702,Cartographer,Zulu,N/A
'PR36260508,Madeleine,Dumont,Female,2001-07-14,24,Citizen,France,827115105,Study Visa,2025-05-10,2035-05-08,PER87419,N/A,anastasie35@fr,03 23 67 32 83,"rue de Blanchet, 78973 Fleury",Benoit-sur-Gaudin,Mpumalanga,76749,expert-comptable,French,5
'4004148427041,Mzamo,Nala,Male,1940-04-14,85,Citizen,South Africa,26552003,N/A,N/A,N/A,N/A,N/A,mphankomosandile@co.za,+1-598-429-6284,"17 Prince Umgwaqo, Sasolburg, 8194",Boksburg,Eastern Cape,1612,"Sound technician, broadcasting/film/video",Zulu,N/A
'7706122542090,Nobantu,Gcaba,Female,1977-06-12,48,Citizen,South Africa,69791023,N/A,N/A,N/A,N/A,N/A,mzamo01@co.za,(478)674-3529x1249,"3056 Prince Umgwaqo, Mbombela, 8310",eThekwini,Eastern Cape,3048,Network engineer,Zulu,N/A
'PR58509094,Hélène,Marie,Female,1995-01-28,30,Citizen,United Kingdom,985356560,Corporate Visa,2023-08-17,2033-08-14,PER53388,N/A,iblin@co.uk,0322745340,"24, chemin Lacroix, 67993 Paul",Sainte Aimé,Western Cape,32824,moniteur-éducateur,French,12
'PR65357245,Auguste,Brun,Male,1984-09-05,41,Permanent Resident,United Kingdom,866216259,Critical Skills Visa,2024-06-20,2034-06-18,PER14938,N/A,leclerccelina@uk.com,02 41 47 36 80,"rue Maryse Pereira, 79636 Saint Jeannine",Arnauddan,Western Cape,21651,hydrogéologue,French,5
'TV21437,Micael,Machado,Male,1987-06-21,38,Permanent Resident,Mozambique,MO682539,Relative's Visa,2022-11-23,2024-07-27,VIS50633,N/A,tbatista@co.mz,221 307 392,"Travessa dos Vice-reis, 473, 5455-786 Rebordosa",Esmoriz,North West,3154-437,Operador de instalações de processamento de rochas,Portuguese,13
'6009219182038,Mthokozisi,Mnisi,Male,1960-09-21,64,Citizen,South Africa,27538559,N/A,N/A,N/A,N/A,N/A,bikelwayonomathalente@africa.com,640-223-7077x419,"2709 King Ithafa, Klerksdorp, 3373",Stellenbosch,North West,7957,Armed forces training and education officer,Zulu,N/A
'6708129246064,S'fiso,Nduli,Male,1967-08-12,58,Asylum Seeker,South Africa,60634324,N/A,N/A,N/A,N/A,N/A,sphiwebikelwayo@co.za,479.481.6247x512,"44 Nelson Mandela Umgwaqo, Soweto, 1723",Newcastle,Eastern Cape,8131,Music tutor,Zulu,N/A
'6001108708072,Vusumuzi,Malambule,Male,1960-01-10,65,Permanent Resident,South Africa,34357501,N/A,N/A,N/A,N/A,N/A,ntengasihawukele@co.za,6445082421,"971 Long Indlela, Centurion, 8101",eThekwini,Mpumalanga,3607,"Designer, exhibition/display",Zulu,N/A
'TV10525,Zenzile,Nyandeni,Female,1979-06-12,46,Permanent Resident,Nigeria,N1475593,Corporate Visa,2023-02-23,2024-04-15,VIS90633,N/A,mnqayinomathemba@com.ng,001-506-448-1228x30278,"306 Churchill Ithafa, Boksburg, 4331",iKapa,Free State,4054,Meteorologist,Zulu,6
'5605277249088,Sandile,Madondo,Male,1956-05-27,69,Citizen,South Africa,12766202,N/A,N/A,N/A,N/A,N/A,jabulani37@africa.com,620-269-8661x2359,"38 Somerset Isitaladi, iKapa, 1876",Sasolburg,Eastern Cape,5851,Counsellor,Zulu,N/A
'9803154865095,Thabisa,Ncama,Female,1998-03-15,27,Citizen,South Africa,50351319,N/A,N/A,N/A,N/A,N/A,olwethugugushe@za.net,703.218.9129,"576 Short Isitaladi, Benoni, 1319",iKapa,North West,3289,"Engineer, electronics",Zulu,N/A
'4910123719085,Nothando,Mzila,Female,1949-10-12,75,Permanent Resident,South Africa,55954071,N/A,N/A,N/A,N/A,N/A,tsoduba@africa.com,(280)877-7742x484,"2762 Gandhi Indawo, Uitenhage, 2044",Bethlehem,Free State,6472,Electrical engineer,Zulu,N/A
'9212171740020,Nomthandazo,Nkumane,Female,1992-12-17,32,Citizen,South Africa,66272129,N/A,N/A,N/A,N/A,N/A,ntengajabulani@za.net,(410)888-6024,"8664 High Isitaladi, Upington, 4312",Boksburg,Gauteng,3606,Futures trader,Zulu,N/A
'PR87684466,Marcel,Leleu,Male,1981-07-14,44,Permanent Resident,Democratic Republic of Congo,57148655,Work Visa,2024-12-26,2034-12-24,PER54837,N/A,bouvetwilliam@net,+33 4 23 29 73 18,"45, boulevard Jean, 81576 Didier",Roynec,Limpopo,69344,antiquaire,French,16
'7006167332028,Nhlanhla,Mzilankatha,Male,1970-06-16,55,Citizen,South Africa,73220624,N/A,N/A,N/A,N/A,N/A,wmphephethwa@co.za,7304079259,"6097 Walter Sisulu Umgwaqo, Vanderbijlpark, 3924",iKapa,Free State,5805,Politician's assistant,Zulu,N/A
'PR29855235,Nonhlanhla,Dube,Female,2003-08-12,22,Citizen,Ghana,G5170642,Work Visa,2022-12-06,2032-12-03,PER81461,N/A,olwethusibiya@ghana.com,311.470.0861x8638,"38 Grey Indawo, Benoni, 8472",Newcastle,Mpumalanga,9193,Nutritional therapist,Zulu,16
'6110294980053,Dumisani,Mathaba,Female,1961-10-29,63,Asylum Seeker,South Africa,97619839,N/A,N/A,N/A,N/A,N/A,lhlongwa@za.net,490-469-9339x17156,"76 Commissioner Indawo, Stellenbosch, 4738",Uitenhage,KwaZulu-Natal,3573,Commissioning editor,Zulu,N/A
'7605281329040,Nonhlanhla,Mzilankatha,Female,1976-05-28,49,Citizen,South Africa,66881846,N/A,N/A,N/A,N/A,N/A,anonduma@za.net,735.239.6431x3486,"45 Thomas Ithafa, eGoli, 3063",Springs,KwaZulu-Natal,3716,Chartered accountant,Zulu,N/A
'4212064021008,Thandiwe,Malevu,Female,1942-12-06,82,Permanent Resident,South Africa,46797670,N/A,N/A,N/A,N/A,N/A,khwanelangalibalele@za.net,(907)979-6616x330,"66 Cecil Ithafa, Welkom, 4706",Welkom,Gauteng,8030,Research scientist (physical sciences),Zulu,N/A
'PR24836009,Sibonelo,Ndlovu,Male,1999-02-19,26,Citizen,Ethiopia,92719151,Work Visa,2023-01-02,2032-12-30,PER19050,N/A,simphiwe33@org,(764)566-5275x0180,"272 Stanley Ithafa, Musina, 1742",Vereeniging,Limpopo,8826,Private music teacher,Zulu,10
'PR37350168,S'fiso,Mabuya,Male,1989-04-10,36,Citizen,Tanzania,32574677,Business Visa,2023-10-14,2033-10-11,PER99830,N/A,nothando13@com,(639)810-0083x267,"356 Charles Umgwaqo, Uitenhage, 9583",Welkom,KwaZulu-Natal,3198,Dispensing optician,Zulu,16
'AS168396,Nothando,Yengwayo,Female,2005-09-06,20,Permanent Resident,Nigeria,N4275217,Asylum Seeker Permit,2023-02-08,2025-02-07,ASP86914,Interview Scheduled,sandile14@nigeria.com,966-393-8316x0746,"708 Gandhi Indlela, Tembisa, 6266",Tembisa,Northern Cape,7070,Intelligence analyst,Zulu,4
'5703284414021,Nqobizitha,Gubhela,Female,1957-03-28,68,Permanent Resident,South Africa,41994080,N/A,N/A,N/A,N/A,N/A,shezilondisizwe@za.net,437-944-3672,"59 Voortrekker Umgwaqo, Musina, 7427",Paarl,KwaZulu-Natal,7016,"Designer, furniture",Zulu,N/A
'7512245109092,Siyabonga,Jele,Male,1975-12-24,49,Citizen,South Africa,79041442,N/A,N/A,N/A,N/A,N/A,nomasonto98@co.za,9177749695,"7311 Elizabeth Isitaladi, Benoni, 9646",Klerksdorp,Western Cape,3173,Podiatrist,Zulu,N/A
'5904233971055,Thandiwe,Nxumalo,Female,1959-04-23,66,Citizen,South Africa,67316575,N/A,N/A,N/A,N/A,N/A,noxolo49@za.net,(297)912-8256x888,"558 York Umgwaqo, George, 8255",Bloemfontein,Free State,4150,Politician's assistant,Zulu,N/A
'AS344362,Siphesihle,Nxamalala,Female,2004-10-14,20,Citizen,Ethiopia,18391514,Asylum Seeker Permit,2023-06-26,2025-06-25,ASP13568,Under Review,andile17@net,344-677-9604,"416 Nelson Mandela Umgwaqo, eThekwini, 5826",Newcastle,KwaZulu-Natal,5731,Administrator,Zulu,3
'PR78841622,Thabani,Mbhulangwe,Male,1971-11-14,53,Temporary Visa,Eswatini,72967741,Study Visa,2023-03-21,2033-03-18,PER89700,N/A,sithenjwagugu@org,341-310-4500x398,"4875 Main Indlela, Witbank, 9393",Kathu,Northern Cape,9068,Physiological scientist,Zulu,5
'8807095379055,Thalente,Majoka,Male,1988-07-09,37,Citizen,South Africa,95399039,N/A,N/A,N/A,N/A,N/A,bhekokwakhemanzi@za.net,680-876-8737,"14 Paul Kruger Isitaladi, Sasolburg, 2356",Mahikeng,North West,9407,Financial risk analyst,Zulu,N/A
'7703209861006,Mlungisi,Lakaza,Male,1977-03-20,48,Citizen,South Africa,13807312,N/A,N/A,N/A,N/A,N/A,wmawewe@co.za,875.589.5253,"68 George Isitaladi, Krugersdorp, 1590",Krugersdorp,Free State,6370,Clinical embryologist,Zulu,N/A
'PR85124419,Wenzel,Henk,Male,1978-06-27,47,Citizen,Germany,400475508,Retirement Visa,2023-02-12,2033-02-09,PER64409,N/A,hennyhethur@de,+49 (0) 9705 395508,"Thanelring 4, 30481 Borna",Chemnitz,North West,13700,Elektroniker,German,20
'8904298983059,SimphiweyiNkosi,Nonduma,Male,1989-04-29,36,Citizen,South Africa,50953062,N/A,N/A,N/A,N/A,N/A,mngwengwenomathemba@africa.com,686.805.1931x58234,"273 James Indlela, Vereeniging, 5362",Krugersdorp,North West,4811,Politician's assistant,Zulu,N/A
'7705011982020,Nkazimulo,Motha,Female,1977-05-01,48,Citizen,South Africa,15733392,N/A,N/A,N/A,N/A,N/A,langalibalelendwandwe@africa.com,+1-441-797-0428x29981,"49 York Isitaladi, Sasolburg, 2674",Newcastle,Western Cape,7746,"Horticulturist, amenity",Zulu,N/A
'TV16237,Filipa,Amorim,Female,1989-07-02,36,Citizen,Mozambique,MO172056,Retirement Visa,2022-11-18,2023-09-02,VIS70760,N/A,yabreu@mozambique.com,(351) 266834522,"Travessa Jorge Paiva, 73, 7941-200 Póvoa de Varzim",Mêda,North West,2488-577,Operador de máquinas para trabalhar a pedra,Portuguese,9
'8112171593086,Nomasonto,Mlungisi,Female,1981-12-17,43,Citizen,South Africa,65514620,N/A,N/A,N/A,N/A,N/A,qntsele@za.net,(299)879-2778,"296 Adelaide Ithafa, Centurion, 2356",Randfontein,Eastern Cape,6564,Quantity surveyor,Zulu,N/A
'9310021369086,Thabisa,Dunge,Female,1993-10-02,31,Citizen,South Africa,31667269,N/A,N/A,N/A,N/A,N/A,zinhle07@co.za,(682)580-5635x03857,"31 Edward Isitaladi, Mahikeng, 7138",Krugersdorp,KwaZulu-Natal,3065,Radiation protection practitioner,Zulu,N/A
'TV98673,Thuthukile,Songiya,Female,1972-08-31,53,Citizen,Lesotho,55243991,Corporate Visa,2024-12-03,2025-07-11,VIS23758,N/A,thalentemgazi@com,+1-340-362-6063x8953,"9312 Napier Umgwaqo, Boksburg, 2429",Polokwane,Limpopo,8007,Historic buildings inspector/conservation officer,Zulu,2
'8309291934015,Thandeka,Mdletshe,Female,1983-09-29,41,Citizen,South Africa,10357375,N/A,N/A,N/A,N/A,N/A,vusumuzikhonjwayo@africa.com,979-317-3187x53614,"867 Stanley Umgwaqo, Polokwane, 3505",Newcastle,Mpumalanga,1546,Claims inspector/assessor,Zulu,N/A
'8501157844069,Mzamo,Mcanyana,Male,1985-01-15,40,Permanent Resident,South Africa,23112587,N/A,N/A,N/A,N/A,N/A,ynyawo@za.net,445.713.4966x174,"124 Joseph Umgwaqo, Paarl, 5616",Tembisa,Mpumalanga,6870,"Designer, furniture",Zulu,N/A
'5610217456047,Vusumuzi,Maziya,Male,1956-10-21,68,Citizen,South Africa,42662166,N/A,N/A,N/A,N/A,N/A,echagwe@co.za,566-390-4046x116,"2249 Victoria Ithafa, Bloemfontein, 9063",Paarl,Limpopo,1686,Estate agent,Zulu,N/A
'8309300038032,Nobantu,Nsibanyoni,Female,1983-09-30,41,Citizen,South Africa,57814046,N/A,N/A,N/A,N/A,N/A,ndlovusimphiwe@za.net,655-764-4802,"9929 Thomas Isitaladi, Welkom, 2443",Rustenburg,Free State,3915,"Programmer, multimedia",Zulu,N/A
'6804228398028,Sibonelo,Msweli,Male,1968-04-22,57,Permanent Resident,South Africa,96285244,N/A,N/A,N/A,N/A,N/A,jabulanihlongwa@za.net,001-935-439-0578,"5609 Clarence Umgwaqo, eGoli, 9106",Krugersdorp,Western Cape,7962,Music tutor,Zulu,N/A
