ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'9308093677057,Zibuyile,Thwala,Female,1993-08-09,32,Temporary Visa,South Africa,73552863,N/A,N/A,N/A,N/A,N/A,myezazibuyile@co.za,(298)316-9579,"576 Joseph Indawo, Mbombela, 4270",Vereeniging,Northern Cape,4158,Astronomer,Zulu,N/A
'6505225250044,Bhekani,Hlumakazi,Male,1965-05-22,60,Asylum Seeker,South Africa,76409627,N/A,N/A,N/A,N/A,N/A,lsikhakhane@africa.com,331-470-6704x27346,"967 York Isitaladi, eThekwini, 8825",Polokwane,Free State,7818,Systems developer,Zulu,N/A
'0008285428086,Sibonelo,Mabhodla,Male,2000-08-28,25,Temporary Visa,South Africa,87143587,N/A,N/A,N/A,N/A,N/A,nyembebandile@co.za,001-510-632-4456,"229 Edward Indlela, eGoli, 5747",Potchefstroom,Limpopo,9330,Research scientist (life sciences),Zulu,N/A
'8811268304057,Thabani,Makhoba,Male,1988-11-26,36,Temporary Visa,South Africa,10832515,N/A,N/A,N/A,N/A,N/A,nomcebo68@za.net,001-255-650-9132x6779,"8283 Smith Ithafa, Soweto, 1918",Krugersdorp,Eastern Cape,8542,Television/film/video producer,Zulu,N/A
'4708219761050,Mandlakhe,Mtimande,Male,1947-08-21,78,Citizen,South Africa,48305818,N/A,N/A,N/A,N/A,N/A,gcugcwanomalanga@za.net,(221)725-2108,"169 James Ithafa, Krugersdorp, 9366",Soweto,KwaZulu-Natal,2267,"Administrator, local government",Zulu,N/A
'5002226010024,Bhekani,Njiki,Male,1950-02-22,75,Citizen,South Africa,96507615,N/A,N/A,N/A,N/A,N/A,hjobe@za.net,936.567.4574x945,"195 West Ithafa, Chatsworth, 7843",George,North West,1975,Financial adviser,Zulu,N/A
'AS469361,दीपाली,वेंकटएसन,Female,1990-01-11,35,Citizen,India,29922138,Asylum Seeker Permit,2022-12-03,2024-12-02,ASP81478,Appeal Pending,stiish80@india.com,+91 5606056588,"9114 त्रिवेदी, अलीगढ 538036",विस्तारण,Eastern Cape,464439,Chartered loss adjuster,Hindi,9
'4008160925088,Thuthukile,Hlabisa,Female,1940-08-16,85,Citizen,South Africa,26392782,N/A,N/A,N/A,N/A,N/A,mkhatshwanozibusiso@za.net,955.299.2657,"631 Paul Kruger Ithafa, Centurion, 2119",Mbombela,Eastern Cape,5657,Printmaker,Zulu,N/A
'7512188221093,Zenzele,Hlengwa,Male,1975-12-18,49,Permanent Resident,South Africa,80248888,N/A,N/A,N/A,N/A,N/A,hthoyana@za.net,346-711-9614,"26 Paul Kruger Ithafa, Mbombela, 7752",Thohoyandou,Limpopo,9624,Operational researcher,Zulu,N/A
'8102119541019,Mzamo,Phetha,Male,1981-02-11,44,Citizen,South Africa,91110269,N/A,N/A,N/A,N/A,N/A,nontulinhlanhla@africa.com,333-855-7993,"73 Joseph Indlela, eThekwini, 2990",Welkom,Western Cape,9341,Sports coach,Zulu,N/A
'4510058710085,Bandile,Sabela,Male,1945-10-05,79,Citizen,South Africa,22166520,N/A,N/A,N/A,N/A,N/A,gugulethu03@africa.com,321-948-5526,"169 Long Umgwaqo, Sasolburg, 8852",Benoni,Northern Cape,6653,Public relations officer,Zulu,N/A
'8610058049005,Lwandile,Mlangeni,Male,1986-10-05,38,Permanent Resident,South Africa,12403206,N/A,N/A,N/A,N/A,N/A,mnqobi24@co.za,776-927-9044,"568 Queen Indlela, Kathu, 8269",George,Mpumalanga,1835,Chief Financial Officer,Zulu,N/A
'7012185003066,Langalibalele,Khosini,Male,1970-12-18,54,Citizen,South Africa,24159176,N/A,N/A,N/A,N/A,N/A,nqobizithaxolo@africa.com,001-218-760-8415x2904,"130 Frere Isitaladi, Vanderbijlpark, 5053",Mbombela,Gauteng,8862,Information systems manager,Zulu,N/A
'8309037221027,Mzamo,Sondini,Male,1983-09-03,42,Temporary Visa,South Africa,77408758,N/A,N/A,N/A,N/A,N/A,khonjwayomthokozisi@co.za,438-342-6414x2843,"5537 Prince Ithafa, Randfontein, 7909",Chatsworth,Free State,2440,Television/film/video producer,Zulu,N/A
'6309101599008,Nokulunga,Nombhoco,Female,1963-09-10,62,Asylum Seeker,South Africa,44615236,N/A,N/A,N/A,N/A,N/A,nomathembaphewa@co.za,590-225-8337,"885 Charles Indlela, Uitenhage, 9091",Uitenhage,Free State,7050,Writer,Zulu,N/A
'PR95519336,Mcebisi,Phewa,Male,1998-01-02,27,Citizen,Kenya,K7693421,Business Visa,2025-06-23,2035-06-21,PER34980,N/A,nozibusiso02@co.ke,+1-201-699-3313x93683,"86 Church Indlela, Newcastle, 6726",Centurion,Northern Cape,4904,"Teacher, secondary school",Zulu,17
'5507217127034,Siyabonga,Mhlungu,Male,1955-07-21,70,Citizen,South Africa,28500689,N/A,N/A,N/A,N/A,N/A,msamkhulunomusa@co.za,+1-258-471-5890x43708,"75 Joseph Isitaladi, Kimberley, 8532",Sasolburg,KwaZulu-Natal,2416,Commercial horticulturist,Zulu,N/A
'PR95377126,Sibonelo,Magutshwa,Male,1977-01-02,48,Citizen,Lesotho,67683101,Relative's Visa,2022-11-11,2032-11-08,PER93064,N/A,nomthandazomlawula@net,878.808.9784x07781,"5358 Elizabeth Indlela, Tembisa, 3760",Randfontein,Eastern Cape,9959,Communications engineer,Zulu,2
'0204290951035,Thembeka,Ntshangase,Female,2002-04-29,23,Asylum Seeker,South Africa,18983485,N/A,N/A,N/A,N/A,N/A,londisizwe47@africa.com,5143649417,"9417 Grey Indawo, Witbank, 3706",Klerksdorp,Eastern Cape,3766,"Programmer, applications",Zulu,N/A
'0206096713023,Mandlakhe,Sishi,Male,2002-06-09,23,Citizen,South Africa,69354998,N/A,N/A,N/A,N/A,N/A,qmangena@za.net,+1-248-326-2962x537,"884 Joseph Ithafa, Welkom, 1486",iBhayi,Northern Cape,4736,Tourism officer,Zulu,N/A
'7307100090053,Sibusisiwe,Dinabantu,Female,1973-07-10,52,Citizen,South Africa,99136029,N/A,N/A,N/A,N/A,N/A,nhlanhla62@africa.com,363.911.7907x23157,"2736 Joseph Indawo, Bloemfontein, 2004",Kimberley,North West,1757,Sales promotion account executive,Zulu,N/A
'4811252830086,Londisizwe,Goba,Female,1948-11-25,76,Citizen,South Africa,65720859,N/A,N/A,N/A,N/A,N/A,sibonelompila@co.za,535.818.5413x589,"7277 Rivonia Umgwaqo, Bloemfontein, 2397",Centurion,Northern Cape,2205,"Conservator, furniture",Zulu,N/A
'5901309958047,Sandile,Mnyamande,Male,1959-01-30,66,Permanent Resident,South Africa,75119580,N/A,N/A,N/A,N/A,N/A,qmphazima@africa.com,445-217-8137,"56 Grey Indlela, Mbombela, 7236",Uitenhage,Northern Cape,3008,Location manager,Zulu,N/A
'TV86073,Robert,David,Male,1992-11-12,32,Asylum Seeker,France,842143140,Relative's Visa,2023-07-05,2026-01-08,VIS97431,N/A,caroline78@france.com,03 89 75 28 47,"228, rue Potier, 07875 Georges",TraoreVille,Northern Cape,20853,animateur du patrimoine,French,10
'TV29967,Nomalanga,Dumakude,Female,1999-05-22,26,Citizen,Zimbabwe,ZI463928,Retirement Visa,2025-05-14,2027-08-24,VIS17223,N/A,thabani19@co.zw,(562)872-3448x819,"971 Thomas Indawo, Benoni, 2565",Sasolburg,Western Cape,4240,"Production designer, theatre/television/film",Zulu,14
'5105285657002,Sphiwe,Nhlanhlampofu,Male,1951-05-28,74,Citizen,South Africa,79280363,N/A,N/A,N/A,N/A,N/A,ngubenisiphesihle@africa.com,+1-409-222-1515x248,"43 Oxford Indawo, Stellenbosch, 7207",Vanderbijlpark,Western Cape,4797,Network engineer,Zulu,N/A
'7002031680013,Nokulunga,Mcwaye,Female,1970-02-03,55,Permanent Resident,South Africa,88986507,N/A,N/A,N/A,N/A,N/A,bhekizizwe98@za.net,001-379-278-4591x8757,"748 Gandhi Ithafa, Tembisa, 3328",Musina,KwaZulu-Natal,7454,"Research officer, political party",Zulu,N/A
'PR39226682,Mthokozisi,Nonkululeko,Male,2003-09-22,21,Citizen,Ethiopia,59150725,Business Visa,2025-01-11,2035-01-09,PER69106,N/A,thando76@com,405.263.9905,"2269 James Indlela, Thohoyandou, 9655",Welkom,North West,4287,Clinical research associate,Zulu,20
'8012298846010,Nhlanhla,Mbuyazi,Male,1980-12-29,44,Permanent Resident,South Africa,11148449,N/A,N/A,N/A,N/A,N/A,yeyeyenomthandazo@co.za,942.556.4503,"79 Milner Umgwaqo, eThekwini, 2235",Boksburg,Eastern Cape,3519,Chartered accountant,Zulu,N/A
'5811082099039,Nomathemba,Nsibande,Female,1958-11-08,66,Permanent Resident,South Africa,33211699,N/A,N/A,N/A,N/A,N/A,imbulaze@co.za,(469)483-6413x8387,"2156 Churchill Umgwaqo, Mahikeng, 3355",Krugersdorp,Mpumalanga,7865,Sport and exercise psychologist,Zulu,N/A
'TV22332,Gugulethu,Gubhela,Female,1987-06-05,38,Citizen,Ghana,G9033289,Corporate Visa,2023-05-26,2025-11-26,VIS31511,N/A,ndinisazinhle@com.gh,+1-910-571-1232,"7822 High Indawo, Stellenbosch, 7797",Chatsworth,Limpopo,2562,"Pilot, airline",Zulu,5
'PR10606637,Sibusiso,Amahle,Male,2001-10-13,23,Permanent Resident,Zambia,58657695,Corporate Visa,2025-02-24,2035-02-22,PER45580,N/A,bhekokwakhe15@org,001-550-702-7657,"59 Nelson Mandela Isitaladi, iBhayi, 4906",Newcastle,North West,1067,Armed forces operational officer,Zulu,2
'9712012632005,Zenzile,Mgenge,Female,1997-12-01,27,Citizen,South Africa,73026037,N/A,N/A,N/A,N/A,N/A,kkhaba@co.za,493-582-9000x310,"68 Nelson Mandela Indawo, Soweto, 5033",Mahikeng,Western Cape,9783,Psychiatrist,Zulu,N/A
'4205109414072,Thando,Fanisa,Male,1942-05-10,83,Citizen,South Africa,91793755,N/A,N/A,N/A,N/A,N/A,rnsele@co.za,(480)899-6640,"9937 Long Isitaladi, Benoni, 8761",Upington,Northern Cape,4493,Media planner,Zulu,N/A
'4011245048000,Sibonelo,Shombela,Male,1940-11-24,84,Citizen,South Africa,79264331,N/A,N/A,N/A,N/A,N/A,gebhezithalente@africa.com,284.798.5980x47611,"449 Short Umgwaqo, Sasolburg, 6857",Springs,Gauteng,8697,Energy engineer,Zulu,N/A
'8906283875033,Gugulethu,Mphemba,Female,1989-06-28,36,Citizen,South Africa,11708151,N/A,N/A,N/A,N/A,N/A,kholoselangalibalele@za.net,(769)570-0654,"680 Jan Smuts Ithafa, Witbank, 1453",Centurion,Northern Cape,5538,Logistics and distribution manager,Zulu,N/A
'PR95835675,Mandla,Shange,Male,1984-10-20,40,Citizen,Malawi,62129532,Relative's Visa,2022-12-29,2032-12-26,PER28861,N/A,nhlanhladimbane@net,+1-868-426-9914x36251,"626 Joseph Ithafa, Springs, 2417",Paarl,Mpumalanga,8578,Field trials officer,Zulu,16
'PR30028712,Thandazile,Thusi,Female,1996-12-29,28,Citizen,Tanzania,34757063,Retirement Visa,2025-04-01,2035-03-30,PER13837,N/A,njabulo20@com,570.421.9311x634,"660 Rivonia Ithafa, uMgungundlovu, 3841",Boksburg,Northern Cape,3400,Geophysicist/field seismologist,Zulu,12
'5608121925072,Zinhle,Mgabadeli,Female,1956-08-12,69,Citizen,South Africa,99479882,N/A,N/A,N/A,N/A,N/A,hmakhedama@za.net,+1-715-729-2799x4395,"3789 West Indlela, George, 7200",Upington,Eastern Cape,8850,Armed forces logistics/support/administrative officer,Zulu,N/A
'5004257641079,Siyabonga,Chibi,Male,1950-04-25,75,Temporary Visa,South Africa,93617158,N/A,N/A,N/A,N/A,N/A,mvuyanasiphesihle@co.za,8845172240,"39 Frere Umgwaqo, iKapa, 6995",Vanderbijlpark,Limpopo,7377,Tree surgeon,Zulu,N/A
'TV90237,Jacques,Navarro,Male,2003-04-19,22,Citizen,United States,353722409,Corporate Visa,2025-06-13,2025-10-02,VIS93568,N/A,le-rouxtimothee@us.com,+33 2 18 31 61 00,"60, boulevard Victoire Lévy, 20805 Saint Bernadette",Pons,North West,19124,étanchéiste,French,20
'TV24030,Zibuyile,Mlangatshe,Female,1983-02-11,42,Temporary Visa,Tanzania,89977770,Relative's Visa,2025-05-16,2026-01-25,VIS24588,N/A,mahlinzasimphiwe@org,(539)337-2958x36424,"26 Elizabeth Indlela, Vereeniging, 9434",Newcastle,Free State,7935,"Engineer, manufacturing systems",Zulu,16
'7108176063095,Nhlanhla,Khaphela,Male,1971-08-17,54,Citizen,South Africa,77992880,N/A,N/A,N/A,N/A,N/A,nokulungamabhodla@co.za,991-260-2885,"560 Cecil Isitaladi, Chatsworth, 6116",Thohoyandou,Limpopo,2463,"Journalist, magazine",Zulu,N/A
'8904288563073,Andile,Mahamba,Male,1989-04-28,36,Citizen,South Africa,43160168,N/A,N/A,N/A,N/A,N/A,tdubazane@co.za,290.200.4945x80222,"856 West Indlela, Centurion, 8546",iKapa,North West,1337,Armed forces training and education officer,Zulu,N/A
'9903240709067,Zakhele,Mshibe,Female,1999-03-24,26,Citizen,South Africa,47205536,N/A,N/A,N/A,N/A,N/A,ombotho@co.za,(336)302-1575x532,"290 Thomas Indawo, Soweto, 9981",Kathu,Gauteng,8631,Administrator,Zulu,N/A
'0511122795046,Thandiwe,Mafobo,Female,2005-11-12,19,Citizen,South Africa,42091571,N/A,N/A,N/A,N/A,N/A,kmtumaseli@africa.com,(687)599-6365x619,"785 High Isitaladi, Middelburg, 5168",Benoni,North West,1803,Armed forces training and education officer,Zulu,N/A
'PR84245653,Nomthandazo,Ngubeni,Female,1994-12-10,30,Citizen,Kenya,K1948904,Work Visa,2025-01-01,2034-12-30,PER46354,N/A,sibindinomagugu@co.ke,812-553-7811x766,"8596 Charles Indlela, Bethlehem, 8479",iKapa,Mpumalanga,2837,Customer service manager,Zulu,3
'PR53942350,Bhekizizwe,Msomi,Female,1983-03-13,42,Citizen,Tanzania,59179407,Retirement Visa,2024-06-08,2034-06-06,PER57172,N/A,nmawanda@com,9967694314,"26 Frere Indlela, eThekwini, 5522",Vanderbijlpark,Northern Cape,8331,Amenity horticulturist,Zulu,16
'6409256270004,Thabani,Mhlabandlovu,Male,1964-09-25,60,Permanent Resident,South Africa,18319363,N/A,N/A,N/A,N/A,N/A,nokulunga75@za.net,(432)280-4295,"154 West Indawo, Uitenhage, 2284",Welkom,Western Cape,8041,"Geologist, engineering",Zulu,N/A
'8102153319027,Nozizwe,Dlakela,Female,1981-02-15,44,Permanent Resident,South Africa,74714706,N/A,N/A,N/A,N/A,N/A,ndumisogamede@za.net,228.291.8262x48884,"549 Thomas Indlela, Klerksdorp, 1176",Rustenburg,Eastern Cape,5571,"Psychologist, educational",Zulu,N/A
'8705153004072,Nozizwe,Bophela,Female,1987-05-15,38,Temporary Visa,South Africa,25946882,N/A,N/A,N/A,N/A,N/A,thabisile39@co.za,(432)641-4405x9714,"6712 Voortrekker Isitaladi, Sasolburg, 9502",Thohoyandou,Mpumalanga,7623,Investment analyst,Zulu,N/A
'8610275247064,Mthokozisi,Mbhense,Male,1986-10-27,38,Citizen,South Africa,72657482,N/A,N/A,N/A,N/A,N/A,rcwalile@co.za,993.299.9949x712,"12 Main Indlela, Centurion, 2336",uMgungundlovu,North West,6656,"Accountant, chartered",Zulu,N/A
'7307132239092,Nomathemba,Bhensela,Female,1973-07-13,52,Citizen,South Africa,97429527,N/A,N/A,N/A,N/A,N/A,qdonda@za.net,368-312-8886,"25 Paul Kruger Umgwaqo, Mahikeng, 7415",Vereeniging,Limpopo,5195,Theatre stage manager,Zulu,N/A
'0205174668089,Noxolo,Masuku,Female,2002-05-17,23,Citizen,South Africa,27934435,N/A,N/A,N/A,N/A,N/A,owethumkhokeleleki@za.net,2965129954,"5946 James Indlela, Mbombela, 6052",Bethlehem,Limpopo,3828,Copy,Zulu,N/A
'0006100531082,Silondile,Mabaso,Female,2000-06-10,25,Citizen,South Africa,23244306,N/A,N/A,N/A,N/A,N/A,hsibaya@africa.com,576-272-5630x731,"8381 Commissioner Indlela, Bethlehem, 3281",Randfontein,Western Cape,9824,Forensic psychologist,Zulu,N/A
'6910317505096,Vusumuzi,Ndaba,Male,1969-10-31,55,Citizen,South Africa,85180999,N/A,N/A,N/A,N/A,N/A,nomathembagigaba@africa.com,(424)831-3339x025,"9802 Long Umgwaqo, Mahikeng, 2228",Witbank,Gauteng,7704,Television production assistant,Zulu,N/A
'PR97518283,Thandazile,Nyazitla,Female,1976-07-22,49,Temporary Visa,Kenya,K3817319,Study Visa,2025-01-12,2035-01-10,PER89659,N/A,thalentenala@kenya.com,937.674.6305x219,"8447 Walter Sisulu Umgwaqo, Benoni, 5823",Polokwane,Mpumalanga,9080,Legal secretary,Zulu,10
'6506198781071,Sandile,Duyaza,Male,1965-06-19,60,Citizen,South Africa,48473564,N/A,N/A,N/A,N/A,N/A,qvunisa@za.net,+1-913-515-0948,"536 High Indlela, Soweto, 4699",Kimberley,Limpopo,3691,Quality manager,Zulu,N/A
'PR99757690,िकशोरी,प्रधान,Female,1972-01-07,53,Asylum Seeker,India,57204148,Work Visa,2025-04-25,2035-04-23,PER93367,N/A,hgoyl@india.com,+91 729 9906902,"95/8771 अवन्ती रॉय, देवगढ़ 809335",रानीताल,Free State,779558,Physiological scientist,Hindi,14
'4507290652005,Siphesihle,Mbotho,Female,1945-07-29,80,Citizen,South Africa,15164392,N/A,N/A,N/A,N/A,N/A,zakhele95@co.za,001-264-873-9240x4613,"283 Elizabeth Umgwaqo, Uitenhage, 5026",Rustenburg,Free State,5611,International aid/development worker,Zulu,N/A
'6010311782013,Nothando,Msuthu,Female,1960-10-31,64,Temporary Visa,South Africa,37905914,N/A,N/A,N/A,N/A,N/A,ndumiso29@africa.com,285.234.3443,"31 Gandhi Indawo, Stellenbosch, 6755",Kathu,North West,1863,Educational psychologist,Zulu,N/A
'8810020645097,Nomasonto,Hlomuka,Female,1988-10-02,36,Permanent Resident,South Africa,86391921,N/A,N/A,N/A,N/A,N/A,csabela@co.za,776-432-1826x8121,"125 Edward Indawo, iKapa, 6676",Kathu,North West,8724,Clinical molecular geneticist,Zulu,N/A
'7711285582010,Sibusiso,Manyoni,Male,1977-11-28,47,Citizen,South Africa,62876405,N/A,N/A,N/A,N/A,N/A,thando01@co.za,001-377-903-5160,"3193 Napier Umgwaqo, Polokwane, 3186",Kathu,Western Cape,5024,Writer,Zulu,N/A
