ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Biometric Score,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'AS468494,Lucas,Fischer,Male,1986-08-05,39,Citizen,United Kingdom,539230022,Asylum Seeker Permit,2024-09-18,2026-09-18,ASP45498,Refugee Status Granted,0.55,patriciablanchet@co.uk,+33 (0)1 47 39 96 28,"29, rue de Leconte, 65842 Martins",Rossi,Limpopo,97367,cryptologue,French,8
'8701086722087,Langalibalele,Jali,Male,1987-01-08,38,Citizen,South Africa,29343550,N/A,N/A,N/A,N/A,N/A,0.97,ntamondemnqobi@africa.com,001-840-711-9913x5715,"2956 Frere Isitaladi, Soweto, 1958",Chatsworth,KwaZulu-Natal,6980,Merchant navy officer,Zulu,N/A
'9709213415091,Owethu,Anele,Female,1997-09-21,28,Citizen,South Africa,19748919,N/A,N/A,N/A,N/A,N/A,0.95,nsukuzabandile@africa.com,(793)596-7421x19853,"304 Long Indlela, George, 5304",Upington,Mpumalanga,3823,Operational investment banker,Zulu,N/A
'5302032568064,Thembile,Msokazi,Female,1953-02-03,72,Citizen,South Africa,58399833,N/A,N/A,N/A,N/A,N/A,0.81,tgama@co.za,+1-655-755-7706,"3512 Long Indawo, Paarl, 4419",eThekwini,Limpopo,7255,Camera operator,Zulu,N/A
'7403071568077,Nozizwe,Mayeza,Female,1974-03-07,51,Citizen,South Africa,92859759,N/A,N/A,N/A,N/A,N/A,0.7,msamkhulusibusiso@za.net,399-295-8037x885,"655 Church Isitaladi, Randfontein, 7596",eThekwini,Western Cape,9048,Human resources officer,Zulu,N/A
'4809015339072,Lwandile,Mavundla,Male,1948-09-01,77,Citizen,South Africa,65495278,N/A,N/A,N/A,N/A,N/A,0.71,nobuhle75@co.za,671.276.8781,"5348 Clarence Umgwaqo, Welkom, 6001",Mahikeng,Limpopo,1110,Archaeologist,Zulu,N/A
'4909187741064,Jabulani,Mavundla,Male,1949-09-18,76,Temporary Visa,South Africa,95288309,N/A,N/A,N/A,N/A,N/A,0.7,mnqobikhuboni@za.net,(311)280-6896x468,"370 Charles Indlela, Bethlehem, 5030",Benoni,Limpopo,1174,Occupational therapist,Zulu,N/A
'6209060788000,Nozibusiso,Mbende,Female,1962-09-06,63,Citizen,South Africa,77128757,N/A,N/A,N/A,N/A,N/A,0.98,mlambothembeka@za.net,418.271.9212,"145 Prince Indawo, Boksburg, 3758",Potchefstroom,Western Cape,8255,"Conservation officer, nature",Zulu,N/A
'TV58422,Thabani,Mhlambo,Male,1980-04-20,45,Asylum Seeker,Eswatini,45053727,Relative's Visa,2024-02-09,2026-07-14,VIS47609,N/A,0.77,nomthandazodlodlo@net,+1-351-599-5527x252,"960 Walter Sisulu Ithafa, George, 5737",Musina,Northern Cape,2608,Planning and development surveyor,Zulu,12
'0211049702035,Sandile,Caluza,Male,2002-11-04,22,Citizen,South Africa,59729127,N/A,N/A,N/A,N/A,N/A,0.84,gcugcwanomcebo@co.za,001-458-724-4169x4213,"510 Short Umgwaqo, Centurion, 1194",Newcastle,Eastern Cape,9709,Art therapist,Zulu,N/A
'5606113651056,Thandeka,Sishi,Female,1956-06-11,69,Permanent Resident,South Africa,25635908,N/A,N/A,N/A,N/A,N/A,0.73,qmdlalose@africa.com,7723694755,"4415 Cecil Umgwaqo, Mahikeng, 5475",Bloemfontein,Gauteng,8095,"Engineer, materials",Zulu,N/A
'PR22760086,Zenzile,Msamkhulu,Female,2004-02-27,21,Citizen,Somalia,61640437,Retirement Visa,2024-08-16,2034-08-14,PER84446,N/A,0.76,mandlakhensibanyoni@org,956-448-7595x707,"8224 Stanley Umgwaqo, Mbombela, 2867",George,Mpumalanga,7521,Local government officer,Zulu,12
'AS308163,Luc,Bernier,Male,1989-03-26,36,Citizen,Democratic Republic of Congo,15708551,Asylum Seeker Permit,2023-12-31,2025-12-30,ASP80643,Refugee Status Granted,0.37,evrardmarcel@org,03 55 96 11 69,"955, boulevard Renault, 60382 Benardnec",Cordierboeuf,KwaZulu-Natal,68273,géographe,French,11
'9603114396090,Ndumiso,Ndonga,Female,1996-03-11,29,Permanent Resident,South Africa,49647677,N/A,N/A,N/A,N/A,N/A,0.91,minenhle73@za.net,(617)693-3476x7654,"619 West Ithafa, Vereeniging, 4610",Soweto,Free State,7434,Seismic interpreter,Zulu,N/A
'5205075722065,Thando,Guliwe,Male,1952-05-07,73,Citizen,South Africa,73808185,N/A,N/A,N/A,N/A,N/A,0.83,nndimande@za.net,(630)332-6487x11788,"7706 Stanley Indawo, eThekwini, 1516",Centurion,Western Cape,2273,Broadcast presenter,Zulu,N/A
'AS124652,Mlungisi,Yeyeye,Male,1998-10-17,26,Citizen,Ethiopia,53871761,Asylum Seeker Permit,2023-10-31,2025-10-30,ASP61401,Refugee Status Granted,0.46,somfulasibusisiwe@com,001-465-464-8967x245,"24 Elizabeth Ithafa, Potchefstroom, 8679",Uitenhage,Free State,9650,"Designer, interior/spatial",Zulu,14
'8307092263025,Thandiwe,Mhlophe,Female,1983-07-09,42,Citizen,South Africa,83068141,N/A,N/A,N/A,N/A,N/A,0.76,silondilemngwemkhulu@za.net,469.362.9522x85062,"7491 Prince Ithafa, Potchefstroom, 3863",Boksburg,Limpopo,6475,Legal secretary,Zulu,N/A
'8109215645049,Sandile,Mfusi,Male,1981-09-21,44,Citizen,South Africa,79497959,N/A,N/A,N/A,N/A,N/A,0.76,mbunjwamzamo@africa.com,+1-423-478-2805,"4316 Prince Indlela, eGoli, 6853",Benoni,KwaZulu-Natal,3447,"Designer, blown glass/stained glass",Zulu,N/A
'PR17923342,Mariana,Lopes,Female,1985-10-29,39,Temporary Visa,Mozambique,MO665393,Retirement Visa,2025-02-18,2035-02-16,PER15291,N/A,0.63,estevessandro@mozambique.com,(351) 919113597,"Largo Teixeira, 136, 3993-215 Alcácer do Sal",Olhão,Gauteng,0713-891,Engenheiro eletrónico,Portuguese,7
'6010203614010,Nqobizitha,Ndlovu,Female,1960-10-20,64,Citizen,South Africa,15284633,N/A,N/A,N/A,N/A,N/A,0.87,ayandamusa@co.za,2787330262,"536 Joseph Indlela, Witbank, 3937",Kimberley,Eastern Cape,6547,"Teacher, secondary school",Zulu,N/A
'PR68590548,Victor,Jacob,Male,1989-12-07,35,Permanent Resident,United Kingdom,166806305,Corporate Visa,2023-06-09,2033-06-06,PER23729,N/A,0.77,slambert@uk.com,+33 (0)3 62 17 64 36,"chemin Luce Boutin, 36315 Girard-sur-Michaud",Rey,KwaZulu-Natal,79120,documentaliste,French,8
'5803240151093,Thabisa,Mashiya,Female,1958-03-24,67,Citizen,South Africa,51092408,N/A,N/A,N/A,N/A,N/A,0.75,nomathemba30@co.za,260-632-1366,"67 Edward Indawo, Kathu, 6197",George,KwaZulu-Natal,1598,Chief Strategy Officer,Zulu,N/A
'8802157903025,Thando,Gasela,Male,1988-02-15,37,Citizen,South Africa,44576962,N/A,N/A,N/A,N/A,N/A,0.79,qngobese@co.za,441.439.7177,"2403 Frere Ithafa, Paarl, 7664",Mahikeng,Mpumalanga,7849,Air broker,Zulu,N/A
'9505121475088,Nomagugu,Dlawuza,Female,1995-05-12,30,Citizen,South Africa,87473539,N/A,N/A,N/A,N/A,N/A,0.99,njabulongungunyana@za.net,001-217-347-8165x292,"980 Clarence Umgwaqo, Thohoyandou, 5570",uMgungundlovu,Mpumalanga,5121,Visual merchandiser,Zulu,N/A
'4405251104098,Amahle,Shengele,Female,1944-05-25,81,Citizen,South Africa,36238416,N/A,N/A,N/A,N/A,N/A,0.95,gugulethumadonsela@co.za,(238)727-9630,"6364 President Umgwaqo, Upington, 3165",Newcastle,Mpumalanga,4905,Ranger/warden,Zulu,N/A
'7808146419016,Mlungisi,Dimba,Male,1978-08-14,47,Citizen,South Africa,75303049,N/A,N/A,N/A,N/A,N/A,0.8,gnzuza@za.net,599-909-6562,"4491 Oxford Indlela, Springs, 5903",Klerksdorp,Northern Cape,2503,"Development worker, international aid",Zulu,N/A
'PR12465569,Langalibalele,Gigaba,Male,1999-08-18,26,Citizen,Ethiopia,80140652,Retirement Visa,2023-11-19,2033-11-16,PER15718,N/A,0.9,jmathebela@org,751-312-3433x61202,"745 Edward Ithafa, Bloemfontein, 7338",Middelburg,Eastern Cape,4856,"Copywriter, advertising",Zulu,19
'6610106132010,Musa,Ayize,Male,1966-10-10,58,Permanent Resident,South Africa,59333471,N/A,N/A,N/A,N/A,N/A,0.75,nyandenisiphesihle@za.net,2015152280,"64 West Ithafa, uMgungundlovu, 2049",Sasolburg,KwaZulu-Natal,9801,Freight forwarder,Zulu,N/A
'PR18755780,帅,周,Male,2002-03-05,23,Citizen,China,46165079,Corporate Visa,2023-12-04,2033-12-01,PER25070,N/A,0.75,weiqin@com.cn,18135067619,香港特别行政区畅市友好潜江街c座 717900,柳县,North West,184839,其他,Mandarin,2
'PR44434681,Thandazile,Mhlambo,Female,1991-11-30,33,Permanent Resident,Nigeria,N1603115,Study Visa,2025-01-12,2035-01-10,PER98463,N/A,0.61,angobese@nigeria.com,283-780-7112x54211,"7471 Short Isitaladi, Kathu, 3218",Witbank,Limpopo,2520,Museum/gallery exhibitions officer,Zulu,10
'PR13198563,Nomagugu,Thango,Female,1979-05-08,46,Citizen,Botswana,BO940543,Critical Skills Visa,2025-06-27,2035-06-25,PER72207,N/A,0.64,ylangeni@org,958-627-4498,"69 Smith Ithafa, Tembisa, 9502",iBhayi,Gauteng,6560,Trade union research officer,Zulu,13
'4304218556000,Lungile,Mncwanga,Male,1943-04-21,82,Citizen,South Africa,13519608,N/A,N/A,N/A,N/A,N/A,0.83,siwelenomthandazo@africa.com,(868)478-3000x9201,"18 Walter Sisulu Indlela, Vanderbijlpark, 1814",Centurion,Western Cape,1820,Learning mentor,Zulu,N/A
'9701184054094,Thandiwe,Gasela,Female,1997-01-18,28,Permanent Resident,South Africa,67878040,N/A,N/A,N/A,N/A,N/A,0.95,mandlakhentuli@co.za,+1-489-464-1037x437,"549 James Ithafa, Polokwane, 7741",Bethlehem,Eastern Cape,4839,Forensic scientist,Zulu,N/A
'5607026980064,Luyanda,Goba,Male,1956-07-02,69,Citizen,South Africa,40610276,N/A,N/A,N/A,N/A,N/A,0.84,owethu89@za.net,411.398.7177x594,"26 High Indlela, Chatsworth, 5509",Stellenbosch,Limpopo,1031,"Therapist, sports",Zulu,N/A
'9807261303003,Zakhele,Dikane,Female,1998-07-26,27,Temporary Visa,South Africa,88386092,N/A,N/A,N/A,N/A,N/A,0.98,nobantu47@co.za,(933)645-5205x0540,"6240 Walter Sisulu Isitaladi, Upington, 8954",Kimberley,Mpumalanga,8674,"Development worker, community",Zulu,N/A
'8109228265044,Vusumuzi,Mbhense,Male,1981-09-22,44,Citizen,South Africa,66460780,N/A,N/A,N/A,N/A,N/A,0.91,silondilemabhoko@co.za,(337)222-0139,"2591 Long Indawo, Springs, 1911",Vanderbijlpark,Gauteng,1505,"Exhibitions officer, museum/gallery",Zulu,N/A
'9402275112067,Bhekani,Dladla,Male,1994-02-27,31,Citizen,South Africa,30734601,N/A,N/A,N/A,N/A,N/A,0.78,thabisasondini@co.za,438-655-5385x5771,"1002 Clarence Umgwaqo, Boksburg, 6236",Potchefstroom,KwaZulu-Natal,8548,Primary school teacher,Zulu,N/A
'5906131141023,Nqobizitha,Gasa,Female,1959-06-13,66,Temporary Visa,South Africa,97729279,N/A,N/A,N/A,N/A,N/A,0.9,mandlakhemphankomo@africa.com,360-864-9295x0018,"5162 William Indlela, Paarl, 2307",Klerksdorp,Western Cape,7720,Forensic psychologist,Zulu,N/A
'AS804420,Sandile,Nkala,Male,1990-08-30,35,Permanent Resident,Eswatini,84799068,Asylum Seeker Permit,2024-10-23,2026-10-23,ASP22220,Rejected,0.79,ndongakhanyisile@org,(482)506-7089,"211 Oxford Umgwaqo, Musina, 1371",Bloemfontein,Gauteng,4134,Medical sales representative,Zulu,1
'8710062019083,Nomasonto,Nyawose,Female,1987-10-06,38,Citizen,South Africa,21958658,N/A,N/A,N/A,N/A,N/A,0.78,rbiyase@co.za,+1-784-426-3586x758,"644 Grey Indawo, Welkom, 6118",Rustenburg,Northern Cape,7228,Multimedia specialist,Zulu,N/A
'9901300679061,Zenzile,Khomo,Female,1999-01-30,26,Citizen,South Africa,86126754,N/A,N/A,N/A,N/A,N/A,0.88,mphankomoolwethu@za.net,849-984-0156x413,"31 Oxford Isitaladi, eGoli, 7669",Vanderbijlpark,North West,8342,"Designer, fashion/clothing",Zulu,N/A
'4209229189013,SimphiweyiNkosi,Mhlangu,Male,1942-09-22,83,Citizen,South Africa,65273833,N/A,N/A,N/A,N/A,N/A,0.89,yphetha@co.za,903.745.2084,"849 Churchill Isitaladi, Upington, 5976",Kathu,North West,5320,Arts development officer,Zulu,N/A
'5607216818091,Lwandile,Hlongwa,Male,1956-07-21,69,Temporary Visa,South Africa,94482352,N/A,N/A,N/A,N/A,N/A,0.82,mandla40@za.net,(993)210-5967,"127 George Ithafa, eGoli, 6073",George,KwaZulu-Natal,9628,Museum/gallery conservator,Zulu,N/A
'8003162258022,Bhekokwakhe,Mlungisi,Female,1980-03-16,45,Citizen,South Africa,74801747,N/A,N/A,N/A,N/A,N/A,0.93,thuliswayolondiwe@za.net,365.958.3174x41821,"168 Oxford Indlela, iKapa, 2818",Newcastle,KwaZulu-Natal,3381,"Conservation officer, historic buildings",Zulu,N/A
'PR77274310,Victória,Lopes,Female,1971-03-19,54,Temporary Visa,Mozambique,MO805842,Relative's Visa,2025-06-01,2035-05-30,PER74957,N/A,0.95,pazevedo@mozambique.com,929 298 655,"Av de Araújo, 61, 9703-377 Vila Franca de Xira",Almada,Free State,6349-168,Operador de instalações para o fabrico de vidro,Portuguese,15
'PR32228728,Thabani,Gebashe,Male,1977-10-31,47,Permanent Resident,Botswana,BO516371,Relative's Visa,2023-04-25,2033-04-22,PER45999,N/A,0.61,londisizwegama@net,495-775-6650x061,"391 Prince Indlela, Krugersdorp, 1567",iBhayi,Northern Cape,1833,Medical laboratory scientific officer,Zulu,5
